,Місяць,Картопля,Ковбасні вироби,Крупи,Мʼясо свійських тварин та птиці,Макарони,"Молоко пастеризоване жирністю до 2,6% включно",Молочні продукти,Овочі,Олія соняшникова,Риба,Сир,Хліб,Цукор,Яблука,Яйця,basket_price,first_diff_Картопля,first_diff_Ковбасні вироби,first_diff_Крупи,first_diff_Мʼясо свійських тварин та птиці,first_diff_Макарони,"first_diff_Молоко пастеризоване жирністю до 2,6% включно",first_diff_Молочні продукти,first_diff_Овочі,first_diff_Олія соняшникова,first_diff_Риба,first_diff_Сир,first_diff_Хліб,first_diff_Цукор,first_diff_Яблука,first_diff_Яйця,first_diff_basket_price,seasonal,trend,deseasonalized,detrended,salary,basket_salary_ratio,detrended_b_s_ratio
0,2019-01-01,9.33,85.19,18.17,102.34,17.61,23.87,48.66,13.71,35.12,74.4,98.81,17.84,14.02,9.47,24.77,1420.53,,,,,,,,,,,,,,,,,0.004567971702322714,0.16786158122679523,0.1689437432974208,,8186.94,0.1735117149997435,
1,2019-02-01,10.09,85.52,18.61,100.94,17.82,24.13,48.99,14.5,35.07,75.58,99.67,18.05,14.13,9.43,23.9,1433.55,0.7599999999999998,0.3299999999999983,0.4399999999999977,-1.4000000000000057,0.21000000000000085,0.259999999999998,0.3300000000000054,0.7899999999999991,-0.04999999999999716,1.1799999999999926,0.8599999999999994,0.21000000000000085,0.11000000000000121,-0.040000000000000924,-0.870000000000001,13.019999999999982,0.004025863608493891,0.16682940849808256,0.16809438944207658,,8328.77,0.17212025305057047,-0.0008493538553442093
2,2019-03-01,10.16,85.35,19.01,100.54,18.0,24.18,49.23,14.94,34.98,76.67,100.15,18.22,14.16,9.48,22.7,1439.1,0.07000000000000028,-0.1700000000000017,0.40000000000000213,-0.3999999999999915,0.17999999999999972,0.05000000000000071,0.23999999999999488,0.4399999999999995,-0.09000000000000341,1.0900000000000034,0.480000000000004,0.16999999999999815,0.02999999999999936,0.05000000000000071,-1.1999999999999993,5.5499999999999545,-0.0038449103502491535,0.16580079161874972,0.16710368759407884,,8814.84,0.1632587772438297,-0.000990701847997738
3,2019-04-01,10.73,85.55,19.86,102.16,18.19,24.32,49.68,19.13,34.95,77.26,100.86,18.39,14.08,9.49,20.2,1470.61,0.5700000000000003,0.20000000000000284,0.8499999999999979,1.6199999999999903,0.19000000000000128,0.14000000000000057,0.45000000000000284,4.1899999999999995,-0.02999999999999403,0.5900000000000034,0.7099999999999937,0.1700000000000017,-0.08000000000000007,0.009999999999999787,-2.5,31.50999999999999,0.006229010801487287,0.1647737688171049,0.16350408785102155,,8664.25,0.16973309865250885,-0.0035995997430572912
4,2019-05-01,14.07,84.4,20.21,103.9,18.25,24.25,49.72,22.81,34.93,77.77,99.96,18.68,14.25,11.12,17.0,1515.81,3.34,-1.1499999999999915,0.3500000000000014,1.740000000000009,0.05999999999999872,-0.07000000000000028,0.03999999999999915,3.6799999999999997,-0.020000000000003126,0.5099999999999909,-0.9000000000000057,0.28999999999999915,0.16999999999999993,1.629999999999999,-3.1999999999999993,45.200000000000045,0.005744233717737438,0.16374541419235292,0.16116431183771043,,9081.68,0.16690854555544787,-0.002339776013311118
5,2019-06-01,17.26,84.34,20.4,103.96,18.27,24.15,49.56,17.19,34.99,78.24,99.4,19.14,15.17,14.91,12.47,1527.17,3.1900000000000013,-0.060000000000002274,0.18999999999999773,0.05999999999998806,0.019999999999999574,-0.10000000000000142,-0.1599999999999966,-5.619999999999997,0.060000000000002274,0.46999999999999886,-0.5599999999999881,0.46000000000000085,0.9199999999999999,3.790000000000001,-4.529999999999999,11.360000000000127,-0.012409706333680258,0.1627131222634992,0.16126190777544627,,10259.64,0.148852201441766,9.75959377358393e-05
6,2019-07-01,15.3,84.6,20.33,104.99,18.31,24.23,49.62,12.21,34.9,78.72,99.71,19.29,15.6,16.92,14.35,1509.35,-1.9600000000000009,0.2599999999999909,-0.07000000000000028,1.0300000000000011,0.03999999999999915,0.08000000000000185,0.05999999999999517,-4.98,-0.09000000000000341,0.480000000000004,0.30999999999998806,0.14999999999999858,0.4299999999999997,2.0100000000000016,1.879999999999999,-17.820000000000164,0.002810533513545148,0.16167561161957875,0.15934341147862835,,9308.13,0.1621539449921735,-0.001918496296817923
7,2019-08-01,15.02,85.1,20.23,105.93,18.24,24.43,49.58,9.2,34.96,79.01,99.61,19.27,15.3,17.32,19.89,1512.37,-0.28000000000000114,0.5,-0.09999999999999787,0.9400000000000119,-0.07000000000000028,0.1999999999999993,-0.03999999999999915,-3.0100000000000016,0.060000000000002274,0.29000000000000625,-0.09999999999999432,-0.019999999999999574,-0.29999999999999893,0.3999999999999986,5.540000000000001,3.019999999999982,0.00915451361548644,0.16063328339987784,0.1605969376737253,,8909.32,0.16975145128921174,0.0012535261950969434
8,2019-09-01,14.63,85.46,20.41,106.33,18.29,24.73,50.58,8.09,34.97,79.47,101.5,19.24,15.21,16.97,18.7,1511.78,-0.3899999999999988,0.35999999999999943,0.17999999999999972,0.3999999999999915,0.05000000000000071,0.3000000000000007,1.0,-1.1099999999999994,0.00999999999999801,0.45999999999999375,1.8900000000000006,-0.030000000000001137,-0.08999999999999986,-0.3500000000000014,-1.1900000000000013,-0.5899999999999181,0.0004844289483387206,0.1595894743217433,0.1616783130305706,,9322.61,0.1621627419789093,0.0010813753568452988
9,2019-10-01,15.29,85.69,20.81,106.12,18.29,25.14,51.17,7.78,34.84,79.32,103.17,19.28,14.85,16.5,20.45,1527.01,0.6599999999999984,0.23000000000000398,0.3999999999999986,-0.20999999999999375,0.0,0.41000000000000014,0.5900000000000034,-0.3099999999999996,-0.12999999999999545,-0.15000000000000568,1.6700000000000017,0.0400000000000027,-0.3600000000000012,-0.46999999999999886,1.75,15.230000000000018,-0.001573593732464464,0.1585517418971328,0.16136334653609177,,9556.37,0.1597897528036273,-0.00031496649447881886
